,symbol,label,translation
2030,crownAtTheFeetOfSaints,crown at the feet of saints,kroon aan de voeten van heiligen
2031,crownCoveringTheEars,crown covering the ears,kroon die de oren bedekt
2032,crownedGlobe,crowned globe,gekroonde wereldbol
2033,crownedKing,crowned king,gekroonde koning
2034,crownImperial,crown imperial,keizerlijke kroon
2035,crownJewelsOfTheUnitedKingdom,Crown Jewels of the United Kingdom,Kroonjuwelen van het Verenigd Koninkrijk
2036,crownOf12Stars,crown of 12 stars,kroon van 12 sterren
2037,crownOfBayLaurelHeldInTheHand,crown of bay laurel held in the hand,laurierkroon in de hand gehouden
2038,crownOfBuddha,crown of Buddha,kroon van Boeddha
2039,crownOfEricXiv,Crown of Eric XIV,Kroon van Eric XIV
2040,crownOfFaustinI,Crown of Faustin I,Kroon van Faustin I
2041,crescentOnAnOuthouseDoor,crescent on an outhouse door,halve maan op een buitendeur
2042,crescentParkLooffCarousel,Crescent Park Looff Carousel,Crescent Park Looff Carrousel
2043,crescentsBackToBackOrOneAboveTheOther,crescents back to back or one above the other,halve manen rug aan rug of boven elkaar
2044,crescentShapedFace,crescent-shaped face,halvemaanvormig gezicht
2045,crescentWithRays,crescent with rays,halve maan met stralen
2046,crescentWithTheSmallDiskOfVenus,crescent with the small disk of Venus,halve maan met de kleine schijf van Venus
2047,crest,crest,helmteken
2049,crestedCrane,crested crane,kuifkraan
2050,crestedHelmet,crested helmet,kuifhelm
2051,crestedIbis,crested ibis,kuifibis
2052,crestWithAPairOfShakingHands,crest with a pair of shaking hands,kuif met een paar handen schudden
2053,criderSoil,Crider (soil),Crider (bodem)
2054,criminal,criminal,misdadiger
2055,crimsonFeathers,crimson feathers,karmozijnrode veren
2056,crimsonPolyanthus,crimson polyanthus,karmozijnrode polyanthus
2057,criosphinx,criosphinx,criosphinx
2058,croatianCheckerboard,Croatian checkerboard,Kroatisch dambord
2059,crocodile,crocodile,Crocodylinae
2060,lion,lion,leeuw
2061,dogwood,dogwood,kornoelje
2062,doll,doll,pop
2063,door,door,deur
2064,horseradish,horseradish,mierikswortel
2065,horstWesselLied,Horst-Wessel-Lied,Horst-Wessel-Lied
2066,hortensia,hortensia,hortensia
2067,hostEucharist,Host (Eucharist),Gastheer (eucharistie)
2068,hotAirBalloon,Hot air balloon,Heteluchtballon
2069,hotPeppers,hot peppers,hete pepers
2070,houdekSoil,Houdek (soil),Houdek (bodem)
2071,house,house,woonhuis
2072,lamp,Lamp,Lamp
2073,gray,gray,grijs
2075,grayFox,Gray fox,Grijze vos
2076,grayHairedOldManLivingBehindAStove,gray-haired old man living behind a stove,grijsharige oude man die achter een fornuis woont
2077,greatBindweed,great bindweed,grote winde
2078,greaterFlamingo,Greater flamingo,Grotere flamingo
2079,greaterRoadrunner,Greater roadrunner,Grotere roadrunner
2080,greatGreyOwl,Great grey owl,Grote grijze uil
2081,greatHighlandBagpipe,Great Highland bagpipe,Doedelzak uit de Grote Hooglanden
2082,greatHornbill,Great hornbill,Grote neushoornvogel
2083,greatIndianBustard,Great Indian bustard,Grote Indiase trap
2084,greatSealOfArkansas,Great Seal of Arkansas,Grote Zegel van Arkansas
2085,key,Key,Sleutel
2086,rudbeckia,rudbeckia,Rudbeckia
2087,scar,scar,litteken
2088,shell,shell,granaat
2089,shore,shore,oever
2090,simurg,simurg,simurg
2091,spine,spine,Doorn
2092,squareTool,square (tool),vierkant (gereedschap)
2093,discus,discus,discus
2094,dish,dish,gerecht
2095,dismemberment,dismemberment,verbrokkeling
2096,diyaLamp,Diya (lamp),Diya (lamp)
2097,djed,djed,djed
2098,djiboutiAnthem,Djibouti (anthem),Djibouti (volkslied)
2099,doberman,Doberman,Dobermann
2100,doctor,doctor,dokter
2101,dodecagon,dodecagon,dodecagon
2102,inkhorn,inkhorn,inkthoorn
2103,jasmine,jasmine,jasmijn
2104,jasper,jasper,Jasper
2105,jatiyaSangsadBhaban,Jatiya Sangsad Bhaban,Jatiya Sangsad Bhaban
2106,javanHawkEagle,Javan hawk-eagle,Javaanse Havikarend
2107,jaViElskerDetteLandet,"Ja, vi elsker dette landet","Ja, vi elsker dette landet"
2108,jednaSiJedina,Jedna si jedina,Jedna si jedina
2109,jellO,Jell-O,Jell-O
2110,jeMeSouviens,Je me souviens,Je me souviens
2111,jerkin,jerkin,wambuis
2112,jessantDeLis,jessant-de-lis,jessant-de-lis
2113,jesseTree,Jesse tree,Jesse boom
2114,jewels,jewels,juwelen
2115,joaquínSuRez,Joaquín Suárez,Joaquín Suárez
2116,johanLudvigRuneberg,Johan Ludvig Runeberg,Johan Ludvig Runeberg
2117,johnBull,John Bull,John Bull
2118,johnMcloughlin,John McLoughlin,John McLoughlin
2119,johnnyCanuck,Johnny Canuck,Johnny Canuck
2120,johnnyReb,Johnny Reb,Johnny Rebo
2121,joinOrDie,"Join, or Die",Doe mee of sterf
2122,jollyRoger,Jolly Roger,Piraten vlag
2123,jorySoil,Jory (soil),Jory (bodem)
2124,josDeSanMartín,José de San Martín,José de San Martín
2125,josephMorewoodStaniforth,Joseph Morewood Staniforth,Joseph Morewood Staniforth
2126,journey,journey,reis
2127,juanSantamaría,Juan Santamaría,Juan Santamaria
2128,jucheTower,Juche Tower,Juche-toren
2129,judasTree,Judas tree,Judasboom
2130,judgmentTarot,Judgment (tarot),Oordeel (tarot)
2131,juglansNigra,Juglans nigra,Juglans nigra
2132,justica,justica,justica
2133,kabaddi,Kabaddi,Kabaddi
2134,kabaMaKyei,Kaba Ma Kyei,Kaba Ma Kyei
2135,kafMount,"Kaf, Mount","Kaf, Mount"
2136,kalasa,Kalasa,Kalasa
2137,kalevala,Kalevala,Kalevala
2138,kalkaskaSand,Kalkaska sand,Kalkaska-zand
2139,kalmarNyckel,Kalmar Nyckel,Kalmar Nyckel
2140,kalpavriksha,Kalpavriksha,Kalpavriksha
2141,kamandalu,Kamandalu,Kamandalu
2142,kamehamehaButterfly,Kamehameha butterfly,Kamehameha vlinder
2143,kamehamehaStatues,Kamehameha statues,Kamehameha-beelden
2144,kampilan,Kampilan,Kampilan
2145,kannelInstrument,Kannel (instrument),Kanaal (instrument)
2146,kantele,Kantele,Kantele
2147,kantharos,kantharos,kantharos
2148,kappaAlphaKey,Kappa Alpha Key,Kappa Alfasleutel
2149,karabakhCarpet,Karabakh carpet,Karabach tapijt
2150,karabakhHorse,Karabakh horse,Karabach paard
2151,kartlisDeda,Kartlis Deda,Kartlis Deda
2152,kassaman,Kassaman,Kassaman
2153,kaulanaNPua,Kaulana Nā Pua,Kaulana Nā Pua
2154,kdeDomovMJ,Kde domov můj,Kde domov můj
2155,kebaya,Kebaya,Kebaya
2156,keelBilledToucan,Keel-billed toucan,Kielbektoekan
2157,kennedia,kennedia,kennedia
2158,kerchiefOnTheHead,kerchief on the head,hoofddoek op het hoofd
2159,kestrel,kestrel,Kestrel
2160,key,key,sleutel
2161,lion,Lion,Leeuw
2162,lionAndSun,Lion and Sun,Leeuw en zon
2163,lionCapitalOfAshoka,Lion Capital of Ashoka,Leeuwenhoofdstad van Ashoka
2164,lionOfBabylon,Lion of Babylon,Leeuw van Babylon
2165,lionOfBabylonStatue,Lion of Babylon (statue),Leeuw van Babylon (standbeeld)
2166,lionSun,Lion/Sun,Leeuw/Zon
2167,liquiLiqui,Liqui liqui,Liqui liqui
2168,liquor,liquor,likeur
2169,listOfAnimalsRepresentingFirstLevelAdministrativeCountrySubdivisions,List of animals representing first-level administrative country subdivisions,Lijst van dieren die administratieve onderverdelingen van het eerste niveau vertegenwoordigen
2170,listOfArgentineFlags,List of Argentine flags,Lijst van Argentijnse vlaggen
2171,listOfAzerbaijaniFlags,List of Azerbaijani flags,Lijst van Azerbeidzjaanse vlaggen
2172,listOfBarbadianFlags,List of Barbadian flags,Lijst met vlaggen van Barbados
2173,listOfBelarusianFlags,List of Belarusian flags,Lijst van Wit-Russische vlaggen
2174,listOfBrazilianStateBirds,List of Brazilian state birds,Lijst van Braziliaanse staat vogels
2175,listOfBrazilianStateTrees,List of Brazilian state trees,Lijst van Braziliaanse staatsbomen
2176,listOfBulgarianFlags,List of Bulgarian flags,Lijst van Bulgaarse vlaggen
2177,listOfChineseFlags,List of Chinese flags,Lijst van Chinese vlaggen
2178,listOfColoradoStateSymbols,List of Colorado state symbols,Lijst met symbolen van de staat Colorado
2179,listOfCostaRicanFlags,List of Costa Rican flags,Lijst van Costa Ricaanse vlaggen
2180,listOfCroatianFlags,List of Croatian flags,Lijst van Kroatische vlaggen
2181,listOfDominicanRepublicFlags,List of Dominican Republic flags,Lijst met vlaggen van de Dominicaanse Republiek
2182,listOfFlagsOfGeorgiaCountry,List of flags of Georgia (country),Lijst van vlaggen van Georgië (land)
2183,listOfFlagsOfGibraltar,List of flags of Gibraltar,Lijst van vlaggen van Gibraltar
2184,listOfFlagsOfIreland,List of flags of Ireland,Lijst van vlaggen van Ierland
2185,listOfFlagsOfIsrael,List of flags of Israel,Lijst van vlaggen van Israël
2186,listOfFlagsOfKosovo,List of flags of Kosovo,Lijst van vlaggen van Kosovo
2187,listOfFlagsOfLaos,List of flags of Laos,Lijst van vlaggen van Laos
2188,listOfFlagsOfLithuania,List of flags of Lithuania,Lijst van vlaggen van Litouwen
2189,listOfFlagsOfLuxembourg,List of flags of Luxembourg,Lijst van vlaggen van Luxemburg
2190,listOfFlagsOfMalta,List of flags of Malta,Lijst van vlaggen van Malta
2191,listOfFlagsOfMoldova,List of flags of Moldova,Lijst van vlaggen van Moldavië
2192,listOfFlagsOfMontenegro,List of flags of Montenegro,Lijst van vlaggen van Montenegro
2193,listOfFlagsOfRomania,List of flags of Romania,Lijst van vlaggen van Roemenië
2194,listOfFlagsOfThePhilippines,List of flags of the Philippines,Lijst van vlaggen van de Filippijnen
2195,listOfFlagsOfVenezuela,List of flags of Venezuela,Lijst van vlaggen van Venezuela
2196,listOfHaitianFlags,List of Haitian flags,Lijst van Haïtiaanse vlaggen
2197,listOfHungarianFlags,List of Hungarian flags,Lijst van Hongaarse vlaggen
2198,listOfIcelandicFlags,List of Icelandic flags,Lijst van IJslandse vlaggen
2199,listOfKoreanFlags,List of Korean flags,Lijst van Koreaanse vlaggen
2200,listOfMunicipalFlagsOfPuertoRico,List of municipal flags of Puerto Rico,Lijst van gemeentelijke vlaggen van Puerto Rico
2201,listOfNationalFounders,List of national founders,Lijst van nationale oprichters
2202,listOfNorthKoreanFlags,List of North Korean flags,Lijst van Noord-Koreaanse vlaggen
2203,listOfPalestinianFlags,List of Palestinian flags,Lijst van Palestijnse vlaggen
2204,listOfPeopleConsideredFatherOrMotherOfAFieldInIndia,List of people considered father or mother of a field in India,Lijst van mensen die als vader of moeder van een veld in India worden beschouwd
2205,listOfPiesTartsAndFlans,"List of pies, tarts and flans","Lijst van taarten, taarten en vlaaien"
2206,listOfPuertoRicanFlags,List of Puerto Rican flags,Lijst van Puerto Ricaanse vlaggen
2207,listOfRhodesianFlags,List of Rhodesian flags,Lijst van Rhodesische vlaggen
2208,listOfSingaporeanPatrioticSongs,List of Singaporean patriotic songs,Lijst van Singaporese patriottische liederen
2209,listOfSouthKoreanFlags,List of South Korean flags,Lijst van Zuid-Koreaanse vlaggen
2210,elsSsischesFahnenlied,Elsässisches Fahnenlied,Elsässisches Fahnenlied
2211,emblem,emblem,emblema
2212,embodiment,embodiment,belichaming
2213,empireStateBuilding,Empire State Building,Empire State Building
2214,empressCrown,Empress Crown,keizerin kroon
2215,empressTarot,Empress (tarot),Keizerin (tarot)
2216,globe,globe,globe
2217,globe,Globe,Wereldbol
2218,light,light,licht
2219,light,Light,Licht
2220,lightning,lightning,bliksem
2221,lijepaNaADomovino,Lijepa naša domovino,Lijepa naša domovino
2222,liliumMackliniae,Lilium mackliniae,Lilium mackliniae
2223,liliumMichauxii,Lilium michauxii,Lilium michauxii
2224,limbaNoastr,Limba noastră,Limba noastră
2225,linden,linden,linde
2226,lInnuMalti,L-Innu Malti,L-Innu Malti
2227,lintPlant,lint (plant),pluis (plant)
2228,knife,knife,mes
2229,labyrinth,labyrinth,labyrint
2230,ladder,ladder,ladder
2231,ladybug,ladybug,lieveheersbeestje
2232,ladySBedStrawPlant,Lady’s bed straw (plant),Damesbed stro (plant)
2233,ladySlippers,lady slippers,dames pantoffels
2234,ladySMantlePlant,lady’s mantle (plant),vrouwenmantel (plant)
2235,ladyTriskelion,Lady Triskelion,Lady Triskelion
2236,lagerstraemia,lagerstraemia,lagerstraemia
2237,lagerstroemiaSpeciosa,Lagerstroemia speciosa,Lagerstroemia speciosa
2238,lagopus,Lagopus,Lagopus
2239,lakeSuperiorAgate,Lake Superior agate,Lake Superior agaat
2240,laLuna,La Luna,de maan
2241,laMalinche,La Malinche,La Malinche
2242,laMarseillaise,La Marseillaise,La Marseillaise
2243,lamb,lamb,Lam
2244,lambstonguePlant,lambstongue (plant),lamstong (plant)
2245,lameness,lameness,kreupelheid
2246,lamp,lamp,lamp
2247,lotus,lotus,lotus
2248,lotus,Lotus,lotus
2250,lyre,lyre,lier
2251,lyre,Lyre,Lier
2252,m,M,M
2253,magicianTarot,Magician (tarot),Goochelaar (tarot)
2254,maize,maize,maïs
2255,maize,Maize,mais
2256,mallow,mallow,kaasjeskruid
2257,man,man,man
2258,mantelleta,mantelleta,schoorsteenmantel
2259,mantis,mantis,bidsprinkhaan
2260,mantle,mantle,mantel
2263,manxCat,Manx cat,Manx kat
2264,maple,maple,esdoorn
2265,marbledSalamander,Marbled salamander,Gemarmerde salamander
2266,marchaReal,Marcha Real,Marcha Real
2267,marchForwardDearMotherEthiopia,"March Forward, Dear Mother Ethiopia","Maart vooruit, lieve moeder Ethiopië"
2268,marchOfTheVolunteers,March of the Volunteers,Mars van de vrijwilligers
2269,marchOnBahamaland,"March On, Bahamaland","March On, Bahamaland"
2270,marciaReale,Marcia Reale,Marcia Reale
2271,margaretHendrie,Margaret Hendrie,Margaret Hendrie
2272,margaretJunkinPreston,Margaret Junkin Preston,Margaret Junkin Preston
2273,mariachi,Mariachi,Mariachi
2274,mariaClaraGown,Maria Clara gown,Maria Clara-jurk
2275,marianne,Marianne,Marianne
2276,marigold,marigold,goudsbloem
2277,markhor,Markhor,Markhor
2278,maroon,maroon,kastanjebruin
2279,maror,maror,maror
2280,marthaSt,"Martha, St.","Martha, St."
2281,martlets,Martlets,Martlets
2282,marTriumfal,Marș triumfal,Marș triomf
2283,martyredIntellectualsMemorial,Martyred Intellectuals Memorial,Gedenkteken voor gemartelde intellectuelen
2284,marumaruAtua,Marumaru Atua,Marumaru Atua
2285,marvelOfPeruPlant,marvel of Peru (plant),wonder van Peru (plant)
2286,houseOfGodTarot,House of God (tarot),Huis van God (tarot)
2287,houstonBlackSoil,Houston black (soil),Houston zwart (aarde)
2288,houstonia,houstonia,Houston
2289,hoya,hoya,hoya
2290,huitfoil,huitfoil,huisfolie
2291,humanFemaleSkeletonCladInARobe,Human female skeleton clad in a robe,Menselijk vrouwelijk skelet gekleed in een gewaad
2292,humatAdDiyar,Humat ad-Diyar,Humat ad-Diyar
2293,humatAlHima,Humat al-Hima,Humat al-Hima
2294,humblePlant,humble plant,bescheiden plant
2295,huntingArrows,hunting arrows,jachtpijlen
2296,huntingDogs,hunting dogs,jachthonden
2297,husbandAndWife,husband and wife,man en vrouw
2298,husk,husk,schil
2299,hyacinthFlower,hyacinth (flower),hyacint (bloem)
2300,hyadesStars,Hyades (stars),Hyaden (sterren)
2301,hydrangeaQuercifolia,Hydrangea quercifolia,Hortensia quercifolia
2302,hymneMonGasque,Hymne Monégasque,Hymne Monégasque
2303,hymneNationalVoltaQue,Hymne National Voltaïque,Hymne National Voltaïque
2304,hymnOfCrimea,Hymn of Crimea,Hymne van de Krim
2305,hymnOfTheAzores,Hymn of the Azores,Hymne van de Azoren
2306,hypsibemaMissouriensis,Hypsibema missouriensis,Hypsibema missouriensis
2307,iaOraOTahitiNui,Ia Ora 'O Tahiti Nui,Ia Ora &#39;O Tahiti Nui
2308,ibex,ibex,steenbok
2309,ibis,ibis,ibissen
2310,ibis,Ibis,Ibis
2311,iceHockey,Ice hockey,Ijshockey
2312,ichHabMichErgeben,Ich hab' mich ergeben,Ich hab&#39; mich ergeben
2313,icon,icon,icoon
2314,idfMarch,IDF March,IDF maart
2315,ifaDivination,Ifa divination,Ifa waarzeggerij
2316,ihc,IHC,IHC
2317,ijIoKweOKAelNEoA,Ij Io̧kwe Ļo̧k Aelōn̄ Eo Aō,Ij Io̧kwe Ļo̧k Aelōn̄ Eo Aō
2318,ilCantoDegliItaliani,Il Canto degli Italiani,Il Canto degli Italiani
2319,ilish,Ilish,Ilish
2320,illinoisCentennialHalfDollar,Illinois Centennial half dollar,Illinois Centennial halve dollar
2321,illinoisSong,Illinois (song),Illinois (lied)
2322,lotusFlowers,lotus flowers,lotusbloemen
2323,lotusPlant,Lotus plant,Lotusplant
2324,louisvilleAndNashvilleNo,Louisville and Nashville No. 152,Louisville en Nashville nr. 152
2325,loveInAMist,love-in-a-mist,liefde-in-een-mist
2326,loveInAPuzzle,love-in-a-puzzle,liefde-in-een-puzzel
2327,loveknot,love knot,liefdesknoop
2328,loveLiesBleeding,love-lies-bleeding,liefde-leugens-bloeden
2329,lovEn,Lovćen,Lovćen
2330,lToileDuNord,L'Étoile du Nord,L&#39;Étoile du Nord
2331,lucerne,lucerne,Luzern
2332,lupangHinirang,Lupang Hinirang,Lupang Hinirang
2333,lupinusTexensis,Lupinus texensis,Lupinus texensis
2334,lutherRose,Luther rose,Luther stond op
2335,luxembourgish,Luxembourgish,Luxemburgs
2336,lycasteSkinneri,Lycaste skinneri,Lycaste skinneri
2337,nassellaPulchra,Nassella pulchra,Nassella pulchra
2338,natchezSiltLoam,Natchez silt loam,Natchez slibleem
2339,nathanHale,Nathan Hale,Nathan Hale
2340,nationalAnthemOfAustria,National anthem of Austria,Volkslied van Oostenrijk
2341,nationalAnthemOfBolivia,National anthem of Bolivia,Volkslied van Bolivia
2342,nationalAnthemOfBosniaAndHerzegovina,National Anthem of Bosnia and Herzegovina,Volkslied van Bosnië en Herzegovina
2343,nationalAnthemOfChile,National Anthem of Chile,Volkslied van Chili
2344,nationalAnthemOfColombia,National Anthem of Colombia,Volkslied van Colombia
2345,nationalAnthemOfCostaRica,National anthem of Costa Rica,Volkslied van Costa Rica
2346,nationalAnthemOfDenmark,National anthem of Denmark,Volkslied van Denemarken
2347,nationalAnthemOfElSalvador,National Anthem of El Salvador,Volkslied van El Salvador
2348,nationalAnthemOfGuatemala,National anthem of Guatemala,Volkslied van Guatemala
2349,nationalAnthemOfHonduras,National Anthem of Honduras,Volkslied van Honduras
2350,nationalAnthemOfKuwait,National Anthem of Kuwait,Volkslied van Koeweit
2351,nationalAnthemOfLebanon,National Anthem of Lebanon,Volkslied van Libanon
2352,nationalAnthemOfMauritania,National anthem of Mauritania,Volkslied van Mauritanië
2353,nationalAnthemOfMongolia,National anthem of Mongolia,Volkslied van Mongolië
2354,nationalAnthemOfRussia,National anthem of Russia,Volkslied van Rusland
2355,nationalAnthemOfSaudiArabia,National Anthem of Saudi Arabia,Volkslied van Saoedi-Arabië
2356,nationalAnthemOfScotland,National anthem of Scotland,Volkslied van Schotland
2357,nationalAnthemOfSomalia,National anthem of Somalia (1960–2000),Volkslied van Somalië (1960-2000)
2358,nationalAnthemOfSouthAfrica,National anthem of South Africa,Volkslied van Zuid-Afrika
2359,nationalAnthemOfTheDemocraticRepublicOfAfghanistan,National anthem of the Democratic Republic of Afghanistan,Volkslied van de Democratische Republiek Afghanistan
2360,nationalAnthemOfTheDominicanRepublic,National Anthem of the Dominican Republic,Volkslied van de Dominicaanse Republiek
2361,nationalAnthemOfTheIslamicRepublicOfIran,National Anthem of the Islamic Republic of Iran,Volkslied van de Islamitische Republiek Iran
2362,nationalAnthemOfTheKingdomOfYugoslavia,National Anthem of the Kingdom of Yugoslavia,Volkslied van het Koninkrijk Joegoslavië
2363,nationalAnthemOfTheKoreanEmpire,National anthem of the Korean Empire,Volkslied van het Koreaanse rijk
2364,nationalAnthemOfTheKyrgyzRepublic,National Anthem of the Kyrgyz Republic,Volkslied van de Kirgizische Republiek
2365,nationalAnthemOfTheRepublicOfChina,National Anthem of the Republic of China,Volkslied van de Republiek China
2366,nationalAnthemOfUruguay,National Anthem of Uruguay,Volkslied van Uruguay
2367,nationalAnthemOfYemen,National anthem of Yemen,Volkslied van Jemen
2368,nationalAnthemOfZimbabwe,National Anthem of Zimbabwe,Volkslied van Zimbabwe
2369,nationalAnthemsOfNewZealand,National anthems of New Zealand,Volksliederen van Nieuw-Zeeland
2370,nationalArtsTheatre,National Arts Theatre,Nationaal Kunsttheater
2371,nationalChristmasTreeUnitedStates,National Christmas Tree (United States),Nationale kerstboom (Verenigde Staten)
2372,nationalColoursOfAustralia,National colours of Australia,Nationale kleuren van Australië
2373,nationalColoursOfCanada,National colours of Canada,Nationale kleuren van Canada
2374,nationalColoursOfGermany,National colours of Germany,Nationale kleuren van Duitsland
2375,nationalColoursOfGreece,National colours of Greece,Nationale kleuren van Griekenland
2376,nationalColoursOfIsrael,National colours of Israel,Nationale kleuren van Israël
2377,nationalColoursOfItaly,National colours of Italy,Nationale kleuren van Italië
2378,nationalColoursOfNewZealand,National colours of New Zealand,Nationale kleuren van Nieuw-Zeeland
2379,nationalColoursOfSerbia,National colours of Serbia,Nationale kleuren van Servië
2380,nationalColoursOfTheCzechRepublic,National colours of the Czech Republic,Nationale kleuren van de Tsjechische Republiek
2381,nationalColoursOfUkraine,National colours of Ukraine,Nationale kleuren van Oekraïne
2382,nationalflag,national flag,nationale vlag
2383,nationalFlagAnthemOfTheRepublicOfChina,National Flag Anthem of the Republic of China,Volkslied van de nationale vlag van de Republiek China
2384,nationalFlowerOfTheRepublicOfChina,National Flower of the Republic of China,Nationale bloem van de Republiek China
2385,nationalGuardsUnitOfBulgaria,National Guards Unit of Bulgaria,Nationale Garde-eenheid van Bulgarije
2386,nationalHistoricalMuseumTirana,National Historical Museum (Tirana),Nationaal Historisch Museum (Tirana)
2387,nationalMartyrsMemorial,National Martyrs' Memorial,Nationaal Martelarenmonument
2388,nationalMuseumOfTheMightyEighthAirForce,National Museum of the Mighty Eighth Air Force,Nationaal Museum van de Machtige Achtste Luchtmacht
2389,nationalPledgeIndia,National Pledge (India),Nationale belofte (India)
2390,nationalPledgeOfGhana,National Pledge Of Ghana,Nationale belofte van Ghana
2391,nationalSealOfBrazil,National Seal of Brazil,Nationaal zegel van Brazilië
2392,nationalSealOfTheComoros,National seal of the Comoros,Nationaal zegel van de Comoren
2393,nationalSealsOfJapan,National seals of Japan,Nationale zegels van Japan
2394,nationalSealsOfTheRepublicOfChina,National Seals of the Republic of China,Nationale zegels van de Republiek China
2395,natoDay,NATO Day,NAVO-dag
2396,nauruBwiema,Nauru Bwiema,Nauru Bwiema
2397,nautilus,Nautilus,Nautilus
2398,navalEnsignOfPoland,Naval ensign of Poland,Marinevlag van Polen
2399,navigator,navigator,stuurman
2400,nazareth,Nazareth,Nazareth
2401,naziSalute,Nazi salute,Nazi groet
2402,necktie,necktie,stropdas
2403,ox,ox,os
2404,palmTree,palm (tree),palmboom)
2405,palmTree,palm tree,palmboom
2406,panAfricanColours,Pan-African colours,Pan-Afrikaanse kleuren
2407,panda,panda,panda
2408,panDeCampo,Pan de campo,Pan de campo
2409,panFlute,Pan flute,Panfluit
2410,panPipes,Pan Pipes,Pan pijpen
2411,papilioBianor,Papilio bianor,Papilio bianor
2412,papilioMachaonOregonius,Papilio machaon oregonius,Papilio machaon oregonius
2413,papilioMulticaudata,Papilio multicaudata,Papilio multicaudata
2414,papilionantheMissJoaquim,Papilionanthe Miss Joaquim,Papilion en de Miss Joaquim
2415,papilioPolymnestor,Papilio polymnestor,Papilio polymnestor
2416,papilioPolyxenes,Papilio polyxenes,Papilio polyxenen
2417,papyrusScroll,papyrus scroll,papyrusrol
2418,paraguayanNationalAnthem,Paraguayan National Anthem,Paraguayaanse volkslied
2419,parjanya,Parjanya,Parjanya
2420,parkinsoniaFlorida,Parkinsonia florida,Parkinsonia Florida
2421,patadyong,Patadyong,Patadyong
2422,pato,Pato,Pato
2423,patriotsOfMicronesia,Patriots of Micronesia,Patriotten van Micronesië
2424,patuxentRiverStone,Patuxent River stone,Patuxent River steen
2425,paulTheApostle,Paul the Apostle,Paulus
2426,pavaPuertoRico,Pava (Puerto Rico),Pava (Puerto Rico)
2427,pavilion,pavilion,paviljoen
2428,paw,Paw,Poot
2429,pawning,pawning,verpanden
2430,pawPrint,Paw Print,Pootafdruk
2431,paxtonSoil,Paxton (soil),Paxton (bodem)
2432,payandehBadaIran,Payandeh Bada Iran,Payandeh Bada Iran
2433,peach,Peach,Perzik
2435,peach,peach,perzik
2436,peafowl,Peafowl,pauw
2437,peAlNostruSteagEScrisUnire,Pe-al nostru steag e scris Unire,Pe-al nostru steag e scris Unire
2438,pebble,pebble,kiezel
2439,pennsylvaniaRailroad,Pennsylvania Railroad 1361,Spoorweg van Pennsylvania 1361
2440,pennsylvaniaRailroad,Pennsylvania Railroad 3750,Pennsylvania Spoorweg 3750
2441,pennsylvaniaRailroad,Pennsylvania Railroad 4859,Spoorweg van Pennsylvania 4859
2442,pennsylvaniaSong,Pennsylvania (song),Pennsylvania (lied)
2443,pennyroyal,pennyroyal,pennyroyal
2444,pensiveChrist,Pensive Christ,Christus op de koude steen
2445,pentacle,pentacle,pentakel
2446,pentecost,Pentecost,Pinksteren
2448,perchedBird,perched bird,neergestreken vogel
2449,percyTrompf,Percy Trompf,Percy Trompf
2450,peresopnytsiaGospel,Peresopnytsia Gospel,Peresopnytsia-evangelie
2451,periwinkle,periwinkle,maagdenpalm
2452,monster,Monster,Monster
2453,monstrance,monstrance,monstrans
2454,montanaDisambiguation,Montana (disambiguation),Montana (het ondubbelzinnig maken)
2455,montenegrinCap,Montenegrin cap,Montenegrijnse pet
2456,monumentToCuauhtMoc,Monument to Cuauhtémoc,Monument voor Cuauhtémoc
2457,moon,moon,maan
2458,moon,Moon,Maan
2459,reed,reed,riet
2460,reedPens,reed pens,rieten pennen
2461,reefTriggerfish,Reef triggerfish,Rif trekkervis
2462,regaliaOfNorway,Regalia of Norway,Regalia van Noorwegen
2463,regaliaOfRomania,Regalia of Romania,Regalia van Roemenië
2464,regaliaOfSpain,Regalia of Spain,Regalia van Spanje
2465,regaliaOfSweden,Regalia of Sweden,Regalia van Zweden
2466,regaliaOfTheNetherlands,Regalia of the Netherlands,Regalia van Nederland
2467,regaliaOfTheRussianTsars,Regalia of the Russian tsars,Regalia van de Russische tsaren
2468,regionalTartansOfCanada,Regional tartans of Canada,Regionale tartans van Canada
2469,reichskriegsflagge,Reichskriegsflagge,Reichskriegsvlag
2470,renantheraImschootiana,Renanthera imschootiana,Renanthera imschootiana
2471,rending,rending,vertolking
2472,representativeBrassBandOfTheNationalGuardsUnitOfBulgaria,Representative Brass Band of the National Guards Unit of Bulgaria,Vertegenwoordiger Brass Band van de Nationale Garde-eenheid van Bulgarije
2473,republicPThunderbolt,Republic P-47 Thunderbolt,Republiek P-47 Thunderbolt
2474,resin,resin,hars
2475,mascle,mascle,mascul
2476,mask,mask,masker
2477,masks,masks,maskers
2478,massachusettsBecauseOfYouOurLandIsFree,Massachusetts (Because of You Our Land is Free),Massachusetts (door jou is ons land gratis)
2479,massachusettsNationalCemetery,Massachusetts National Cemetery,Nationale begraafplaats van Massachusetts
2480,mastodon,Mastodon,Mastodont
2481,matureRiceSheaves,Mature rice sheaves,Rijpe rijstschoven
2482,mazarEQuaid,Mazar-e-Quaid,Mazar-e-Quaid
2483,meadowsweet,meadowsweet,moerasspirea
2484,meconopsisGakyidiana,Meconopsis gakyidiana,Meconopsis gakyidiana
